tsne_1,tsne_2,label
4.738033,-26.031996,H
8.923466,-24.595522,H
5.488707,-28.283669,H
4.429556,-26.580992,H
4.941099,-25.510347,H
6.6831007,-24.372898,H
6.1125817,-24.348024,H
5.247372,-28.47595,H
4.685835,-26.048004,H
4.0732,-26.313488,H
8.166767,-25.542812,H
6.1112833,-24.32257,H
9.108125,-25.244238,H
4.2272744,-27.399082,H
4.649672,-25.90246,H
6.127993,-23.288084,H
4.531984,-26.588839,H
9.073847,-25.112808,H
4.8473706,-28.648006,H
-65.04307,-7.9096403,I
-65.72462,-3.593489,I
-62.082104,-6.6832395,I
-62.026897,-6.8533063,I
-65.99599,-7.70075,I
-66.28605,-3.2372084,I
-63.61608,-1.1563047,I
-61.7562,-6.0124407,I
-61.233437,-6.703338,I
-68.05828,-6.7242084,I
-61.912228,-5.0048337,I
-68.39657,-7.28227,I
-65.07076,-7.6297946,I
-64.607544,-2.4590452,I
-63.724594,-1.4359529,I
-61.977474,-6.641068,I
-67.66768,-6.96493,I
-67.79133,-7.2087364,I
-65.72917,-4.2752447,I
-63.60831,-4.5907273,I
-69.25717,-6.5002294,I
-64.77489,-7.9822702,I
-64.596115,-2.2715707,I
-62.2719,-3.7844129,I
-62.59057,-7.391135,I
-67.47741,-6.965978,I
-67.993416,-6.9832277,I
-65.57086,-3.8675525,I
-67.81544,-7.0856414,I
-65.04229,-7.680557,I
-63.342278,-0.5604002,I
-60.914627,-6.7351823,I
-67.117805,-6.3997865,I
-64.73531,-8.022514,I
-64.53334,-2.2200744,I
-61.092457,-6.5654864,I
-69.17962,-6.166696,I
-63.214684,-4.2762375,I
-68.36874,-5.5953956,I
-66.76122,-3.605007,I
-63.980156,-1.4773346,I
-66.95357,-6.5710196,I
-64.842545,-2.3801982,I
-63.68057,-1.003975,I
-69.28761,-6.2581882,I
-62.882614,-4.391011,I
-67.194275,-6.956226,I
-66.904495,-3.6466267,I
-65.15179,-2.7256029,I
-65.99208,-3.813289,I
-69.43412,-5.5617204,I
-29.55426,27.0386,I
-64.523415,-1.9152906,I
-65.11029,-2.0287855,I
-61.419086,-6.1129866,I
-60.89152,-6.7992563,I
-65.78703,-5.382404,I
-70.005615,-6.948146,I
-67.2059,-6.7121487,I
-65.83606,-3.2500806,I
-64.02437,-1.2233013,I
-61.5561,-5.7102146,I
-61.329124,-6.594703,I
5.6491113,62.46235,I
-66.67043,-3.525248,I
-63.679703,-1.0825436,I
-61.828495,-5.186495,I
-61.738926,-6.752318,I
-68.222755,-7.241146,I
-67.51312,-3.6506598,I
-62.44846,-4.1745725,I
-61.057327,-6.7745585,I
-69.36805,-6.2999377,I
-67.899025,-6.669668,I
-65.0181,-7.715041,I
-63.59838,-0.84188765,I
-69.2859,-6.284979,I
-65.65163,-7.708548,I
-63.810986,-1.2455665,I
-63.817093,-1.0971457,I
-61.86928,-5.082991,I
-62.861446,-7.6150537,I
-66.981514,-6.6985006,I
-66.21967,-4.2613072,I
-64.53338,-1.9106115,I
-65.57483,-3.8408592,I
-61.35635,-6.767629,I
-66.15198,-5.5110755,I
-64.21353,-1.7205107,I
-64.24831,-1.5799276,I
-61.334743,-7.1328797,I
-67.118065,-6.529047,I
-66.96313,-3.872184,I
-64.47648,-1.6470455,I
-61.581963,-5.827098,I
-67.81384,-5.9538713,I
-66.96108,-3.7975736,I
-69.28562,-5.8249187,I
-67.183075,-3.6024277,I
-62.383656,-7.2238693,I
-64.78778,-7.955786,I
-67.062775,-3.4593337,I
66.86077,3.5664759,J
66.97602,3.536761,J
61.170574,2.7760406,J
65.783356,4.064836,J
65.78377,3.8430915,J
66.66332,2.4491901,J
60.45835,2.4672942,J
61.02217,2.2355506,J
58.52481,2.521465,J
66.55601,2.2779608,J
57.83242,2.8058474,J
61.36475,3.319326,J
60.922073,2.739185,J
64.70299,3.875839,J
64.0186,2.5775573,J
66.414116,2.1431766,J
61.80021,0.14455016,J
59.7007,2.1043816,J
65.92608,0.6042266,J
57.381195,2.6581123,J
66.555954,1.8283516,J
61.52102,0.4225745,J
58.249138,4.004023,J
65.30797,1.5686237,J
57.954334,3.657536,J
65.67623,0.1114422,J
61.37628,0.71578586,J
57.212734,2.4265482,J
64.35857,3.6336145,J
64.50623,-0.8641027,J
59.556423,1.4507964,J
58.869934,1.550033,J
63.57828,2.0114267,J
63.180492,2.5575018,J
64.343796,3.646701,J
66.562805,1.7881649,J
60.690014,0.42671838,J
57.1759,1.6053782,J
57.20136,1.5195544,J
57.14124,2.2719922,J
59.226543,2.0189822,J
65.76292,0.20898579,J
64.07666,2.2960248,J
63.55279,0.6530725,J
57.818306,1.2956958,J
64.33969,3.6049092,J
61.52952,-0.24994098,J
63.987465,4.0295863,J
61.284206,1.0673914,J
65.279495,0.4844041,J
56.98861,2.4716449,J
65.46483,1.4340291,J
63.59754,1.561956,J
63.61416,1.3928523,J
64.4417,-0.90776175,J
62.211304,2.1433656,J
65.848785,0.37094936,J
63.281837,0.117652364,J
58.051785,1.797781,J
57.62265,2.1208916,J
64.09387,3.805121,J
65.93471,0.54758745,J
64.00037,1.9898683,J
61.211285,1.2115,J
61.337696,0.058914628,J
57.26849,2.0462039,J
57.39177,2.0690825,J
