tsne_1,tsne_2,label
40.03355,4.9720554,E
51.44729,5.489319,E
58.85157,-4.636739,E
40.2971,4.7636695,E
51.063564,5.489527,E
48.276623,1.6961795,E
41.790417,3.996142,E
54.447956,1.7892082,E
48.503574,1.3198497,E
41.84349,4.3825555,E
54.230293,0.42309695,E
48.8429,5.3775506,E
58.467667,-4.465985,E
40.35559,4.827847,E
50.902645,5.494881,E
58.64908,-4.5186534,E
40.474205,5.072988,E
48.663136,5.26341,E
57.94961,-3.9651625,E
50.099243,0.5722857,E
42.558716,3.860261,E
55.509796,0.91495764,E
50.229828,0.48681542,E
42.271896,3.6715164,E
53.26705,3.2651584,E
55.494972,1.5780567,E
59.175003,-4.933775,E
52.816654,-0.2751365,E
42.49129,4.238458,E
46.879787,5.191689,E
50.909992,5.5785627,E
58.75424,-4.4420533,E
59.830627,-5.230482,E
60.132656,-5.2776723,E
41.643013,4.284612,E
51.46572,5.3032813,E
59.50349,-5.008617,E
40.95213,4.7524,E
41.042183,4.493522,E
54.588993,1.5975645,E
49.378304,0.8955355,E
51.319683,5.436438,E
53.271797,3.2523973,E
52.743996,24.354343,F
52.613808,25.027452,F
54.203587,26.24676,F
52.647083,24.414396,F
53.327232,24.232462,F
53.112545,24.780523,F
54.382366,24.622694,F
53.81425,23.942135,F
54.301323,25.8776,F
52.6202,25.236685,F
52.43145,25.006962,F
54.78476,24.295988,F
55.008286,26.154408,F
54.23777,25.757898,F
52.903522,25.380175,F
54.53278,23.894825,F
55.237476,26.060774,F
54.6866,25.8318,F
54.035942,26.069208,F
53.662296,26.081736,F
54.75502,24.70401,F
54.14216,24.093105,F
54.42625,24.12047,F
54.727158,24.520025,F
55.481617,25.282368,F
52.934586,25.788214,F
52.912876,25.509268,F
53.664196,26.030952,F
54.457397,26.315693,F
54.138367,25.696226,F
54.180298,24.340582,F
54.78985,24.447922,F
55.205147,25.519917,F
54.86909,26.304756,F
52.71866,24.460995,F
53.939404,24.249104,F
54.19656,24.598845,F
52.766674,25.232502,F
55.089985,24.69868,F
55.070393,24.780788,F
55.45208,25.82484,F
54.0198,25.689577,F
20.817207,-4.653269,G
20.134695,-0.8278055,G
22.052101,-3.3322444,G
20.822617,-5.874159,G
20.937088,-2.5885756,G
17.10647,-2.062314,G
18.077127,-2.987949,G
18.22665,-3.0845637,G
21.484133,-3.8407643,G
18.453543,-3.2841637,G
20.066093,-3.2394044,G
21.008255,-4.0911055,G
23.915314,-4.5363584,G
20.63968,-6.2268157,G
23.707108,-4.979456,G
21.832134,-4.127766,G
20.765625,-3.8935096,G
21.204006,-3.99178,G
21.546885,-6.052149,G
